image_name,L,a,b,treatment,rep,before_after,date_collected,trial_duration_days,date_photo
after_14Oct_D4c,65,8,6,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4c,67,7,7,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4c,64,6,5,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4d,57,5,3,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4d,64,6,5,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4d,64,7,6,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4e,64,7,6,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4e,68,4,5,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4e,61,9,7,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4f,59,0,-2,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4f,65,5,4,D,4,after,10/14/22,7,10/20/22
after_14Oct_D4f,58,4,-1,D,4,after,10/14/22,7,10/20/22
after_14Oct_NL2a,65,5,3,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2a,65,5,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2a,60,6,5,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2b,64,3,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2b,65,6,6,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2b,62,5,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2c,60,6,5,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2c,59,6,5,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2c,63,6,5,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2d,65,4,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2d,65,6,6,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2d,62,5,2,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2e,59,2,-1,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2e,66,5,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2e,61,6,5,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2f,59,4,0,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2f,59,7,4,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL2f,61,3,2,NL,2,after,10/14/22,7,10/20/22
after_14Oct_NL3a,63,8,5,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3a,59,6,5,NL,3,after,10/14/22,7,10/20/22
after_14Oct_NL3a,62,6,4,NL,3,after,10/14/22,7,10/20/22
