image_name,L,a,b,treatment,rep,before_after,date_collected,trial_duration_days,date_photo
29Sept_D2h,55,2,-7,D,2,after,9/29/22,7,10/14/22
29Sept_D2h,56,2,-5,D,2,after,9/29/22,7,10/14/22
29Sept_D2i,54,5,-2,D,2,after,9/29/22,7,10/14/22
29Sept_D2i,58,2,-3,D,2,after,9/29/22,7,10/14/22
29Sept_D3a,61,3,-2,D,3,after,9/29/22,7,10/14/22
29Sept_D3a,60,2,-4,D,3,after,9/29/22,7,10/14/22
29Sept_D3b,67,2,-2,D,3,after,9/29/22,7,10/14/22
29Sept_D3b,69,6,4,D,3,after,9/29/22,7,10/14/22
29Sept_D3c,59,3,-5,D,3,after,9/29/22,7,10/14/22
29Sept_D3c,66,4,1,D,3,after,9/29/22,7,10/14/22
29Sept_D3d,65,3,-1,D,3,after,9/29/22,7,10/14/22
29Sept_D3d,60,3,-2,D,3,after,9/29/22,7,10/14/22
29Sept_D3d,62,3,-3,D,3,after,9/29/22,7,10/14/22
29Sept_D3e,61,6,-1,D,3,after,9/29/22,7,10/14/22
29Sept_D3e,63,4,-3,D,3,after,9/29/22,7,10/14/22
29Sept_D3f,62,2,-4,D,3,after,9/29/22,7,10/14/22
29Sept_D3f,58,0,-9,D,3,after,9/29/22,7,10/14/22
29Sept_D3g,59,5,-2,D,3,after,9/29/22,7,10/14/22
29Sept_D3g,59,6,0,D,3,after,9/29/22,7,10/14/22
29Sept_D3h,59,3,-6,D,3,after,9/29/22,7,10/14/22
29Sept_D3h,62,5,1,D,3,after,9/29/22,7,10/14/22
29Sept_D3i,61,3,-3,D,3,after,9/29/22,7,10/14/22
29Sept_D3i,62,2,-5,D,3,after,9/29/22,7,10/14/22
14Oct_D1a,58,11,6,D,1,before,10/14/22,0,10/14/22
14Oct_D1a,63,17,10,D,1,before,10/14/22,0,10/14/22
14Oct_D1b,55,19,10,D,1,before,10/14/22,0,10/14/22
14Oct_D1b,56,15,5,D,1,before,10/14/22,0,10/14/22
14Oct_D1b,55,12,5,D,1,before,10/14/22,0,10/14/22
14Oct_D1c,56,17,8,D,1,before,10/14/22,0,10/14/22
14Oct_D1c,50,13,6,D,1,before,10/14/22,0,10/14/22
14Oct_D1d,49,7,-2,D,1,before,10/14/22,0,10/14/22
14Oct_D1d,46,7,-3,D,1,before,10/14/22,0,10/14/22
14Oct_D1e,54,10,2,D,1,before,10/14/22,0,10/14/22
14Oct_D1f,50,12,3,D,1,before,10/14/22,0,10/14/22
14Oct_D1f,58,20,12,D,1,before,10/14/22,0,10/14/22
14Oct_D1g,52,11,7,D,1,before,10/14/22,0,10/14/22
14Oct_D1g,56,12,4,D,1,before,10/14/22,0,10/14/22
